Data;Acidentes no Sistema Anchieta-Imigrantes;;;;;;;;;;;;;
01.01.2010;751;;;;;;;;;;;;;
01.02.2010;531;;;;;;;;;;;;;
01.03.2010;490;;;;;;;;;;;;;
01.04.2010;538;;;;;;;;;;;;;
01.05.2010;523;;;;;;;;;;;;;
01.06.2010;473;;;;;;;;;;;;;
01.07.2010;517;;;;;;;;;;;;;
01.08.2010;522;;;;;;;;;;;;;
01.09.2010;580;;;;;;;;;;;;;
01.10.2010;536;;;;;;;;;;;;;
01.11.2010;535;;;;;;;;;;;;;
01.12.2010;649;;;;;;;;;;;;;
01.01.2011;630;;;;;;;;;;;;;
01.02.2011;550;;;;;;;;;;;;;
01.03.2011;448;;;;;;;;;;;;;
01.04.2011;450;;;;;;;;;;;;;
01.05.2011;422;;;;;;;;;;;;;
01.06.2011;446;;;;;;;;;;;;;
01.07.2011;442;;;;;;;;;;;;;
01.08.2011;439;;;;;;;;;;;;;
01.09.2011;420;;;;;;;;;;;;;
01.10.2011;478;;;;;;;;;;;;;
01.11.2011;421;;;;;;;;;;;;;
01.12.2011;548;;;;;;;;;;;;;
01.01.2012;534;;;;;;;;;;;;;
01.02.2012;514;;;;;;;;;;;;;
01.03.2012;465;;;;;;;;;;;;;
01.04.2012;455;;;;;;;;;;;;;
01.05.2012;439;;;;;;;;;;;;;
01.06.2012;410;;;;;;;;;;;;;
01.07.2012;459;;;;;;;;;;;;;
01.08.2012;435;;;;;;;;;;;;;
01.09.2012;503;;;;;;;;;;;;;
01.10.2012;473;;;;;;;;;;;;;
01.11.2012;506;;;;;;;;;;;;;
01.12.2012;594;;;;;;;;;;;;;
01.01.2013;400;;;;;;;;;;;;;
01.02.2013;275;;;;;;;;;;;;;
01.03.2013;330;;;;;;;;;;;;;
01.04.2013;254;;;;;;;;;;;;;
01.05.2013;245;;;;;;;;;;;;;
01.06.2013;298;;;;;;;;;;;;;
01.07.2013;303;;;;;;;;;;;;;
01.08.2013;292;;;;;;;;;;;;;
01.09.2013;315;;;;;;;;;;;;;
01.10.2013;295;;;;;;;;;;;;;
01.11.2013;369;;;;;;;;;;;;;
01.12.2013;292;;;;;;;;;;;;;
01.01.2014;449;;;;;;;;;;;;;
01.02.2014;452;;;;;;;;;;;;;
01.03.2014;473;;;;;;;;;;;;;
01.04.2014;382;;;;;;;;;;;;;
01.05.2014;368;;;;;;;;;;;;;
01.06.2014;334;;;;;;;;;;;;;
01.07.2014;360;;;;;;;;;;;;;
01.08.2014;404;;;;;;;;;;;;;
01.09.2014;462;;;;;;;;;;;;;
01.10.2014;431;;;;;;;;;;;;;
01.11.2014;419;;;;;;;;;;;;;
01.12.2014;540;;;;;;;;;;;;;
01.01.2015;428;;;;;;;;;;;;;
01.02.2015;381;;;;;;;;;;;;;
01.03.2015;398;;;;;;;;;;;;;
01.04.2015;343;;;;;;;;;;;;;
01.05.2015;359;;;;;;;;;;;;;
01.06.2015;307;;;;;;;;;;;;;
01.07.2015;326;;;;;;;;;;;;;
01.08.2015;343;;;;;;;;;;;;;
01.09.2015;432;;;;;;;;;;;;;
01.10.2015;427;;;;;;;;;;;;;
01.11.2015;333;;;;;;;;;;;;;
01.12.2015;455;;;;;;;;;;;;;
01.01.2016;367;;;;;;;;;;;;;
01.02.2016;353;;;;;;;;;;;;;
01.03.2016;336;;;;;;;;;;;;;
01.04.2016;352;;;;;;;;;;;;;
01.05.2016;337;;;;;;;;;;;;;
01.06.2016;323;;;;;;;;;;;;;
01.07.2016;284;;;;;;;;;;;;;
01.08.2016;344;;;;;;;;;;;;;
01.09.2016;358;;;;;;;;;;;;;
01.10.2016;368;;;;;;;;;;;;;
01.11.2016;349;;;;;;;;;;;;;
01.12.2016;429;;;;;;;;;;;;;
01.01.2017;417;;;;;;;;;;;;;
01.02.2017;335;;;;;;;;;;;;;
01.03.2017;352;;;;;;;;;;;;;
01.04.2017;326;;;;;;;;;;;;;
01.05.2017;353;;;;;;;;;;;;;
01.06.2017;283;;;;;;;;;;;;;
01.07.2017;333;;;;;;;;;;;;;
01.08.2017;419;;;;;;;;;;;;;
01.09.2017;354;;;;;;;;;;;;;
01.10.2017;438;;;;;;;;;;;;;
01.11.2017;382;;;;;;;;;;;;;
01.12.2017;448;;;;;;;;;;;;;
01.01.2018;437;;;;;;;;;;;;;
01.02.2018;369;;;;;;;;;;;;;
01.03.2018;388;;;;;;;;;;;;;
01.04.2018;335;;;;;;;;;;;;;
01.05.2018;260;;;;;;;;;;;;;
01.06.2018;306;;;;;;;;;;;;;
01.07.2018;315;;;;;;;;;;;;;
01.08.2018;287;;;;;;;;;;;;;
01.09.2018;369;;;;;;;;;;;;;
01.10.2018;366;;;;;;;;;;;;;
01.11.2018;367;;;;;;;;;;;;;
01.12.2018;479;;;;;;;;;;;;;
01.01.2019;392;;;;;;;;;;;;;
01.02.2019;347;;;;;;;;;;;;;
01.03.2019;336;;;;;;;;;;;;;
01.04.2019;316;;;;;;;;;;;;;
01.05.2019;300;;;;;;;;;;;;;
01.06.2019;283;;;;;;;;;;;;;
01.07.2019;259;;;;;;;;;;;;;
01.08.2019;351;;;;;;;;;;;;;
01.09.2019;408;;;;;;;;;;;;;
01.10.2019;417;;;;;;;;;;;;;
